,eps,n_samples,silhouette_score
0,66,8,0.20996832283420735
0,97,13,0.2098830875383121
0,69,9,0.209349859938283
0,88,12,0.20896205714536426
0,52,5,0.20879653255648914
0,44,3,0.20831855629224108
0,44,7,0.20783091821645625
0,61,8,0.20776144542143613
0,67,9,0.2074278372943808
0,68,9,0.2074278372943808
0,56,7,0.20734288601472867
0,55,7,0.20732479738380688
0,59,8,0.20702862448414858
0,63,9,0.20687726265399814
0,45,3,0.20675931511431933
0,76,3,0.20665389535448414
0,48,5,0.2066438984474973
0,58,8,0.20650203809644416
0,31,3,0.20626320507626592
0,71,10,0.20608164372973048
0,56,5,0.20582888887254594
0,74,7,0.20561946716117915
0,70,9,0.2051963832621615
0,73,7,0.20485587396887564
0,54,8,0.2048381796938931
0,50,5,0.20475314013644785
0,78,3,0.20394688510943232
0,77,3,0.20394688510943232
0,49,5,0.20370211371073688
0,81,11,0.20308020305241872
0,65,8,0.20298409632910933
0,20,2,0.20272693912416526
0,97,11,0.2024636988401387
0,98,11,0.2024636988401387
0,28,4,0.20169203501528532
0,64,8,0.20073497414497454
0,94,13,0.2001472608136684
0,91,9,0.1999669748127155
0,37,6,0.1999374566038073
0,95,7,0.19947365979626802
0,55,8,0.1991985412096487
0,96,7,0.19897783277439762
0,56,8,0.19890583560769107
0,30,3,0.1983510851383986
0,93,13,0.19816614508158314
0,57,7,0.19771620534168877
0,60,5,0.1972035973180366
0,99,11,0.19709926427599672
0,72,7,0.19708902358117855
0,95,4,0.1967522053722947
0,96,4,0.1967522053722947
0,46,3,0.1964489103986489
0,51,5,0.19605351533483464
0,62,9,0.19602366313555888
0,79,11,0.19555625446732403
0,55,5,0.19549903355544576
0,63,8,0.1953744125603397
0,66,9,0.1952877879930886
0,95,10,0.1951985060312549
0,96,10,0.1951985060312549
0,92,13,0.19479236709105352
0,62,8,0.19438725148491293
0,94,7,0.1943077184535302
0,57,5,0.19409811249571077
0,53,8,0.19335787790496975
0,95,14,0.19287076421456611
0,94,10,0.1922119901736288
0,9,1,0.191814328646857
0,47,3,0.1916372548480207
0,92,7,0.1910670281961941
0,93,7,0.1910670281961941
0,91,7,0.1910670281961941
0,74,11,0.19075511959859298
0,24,4,0.19049308971523463
0,90,7,0.1903625571518834
0,70,10,0.18949245640457757
0,29,3,0.18938850331984433
0,73,11,0.18917100548073112
0,81,7,0.1887627859494384
0,65,9,0.18863972409015672
0,94,4,0.18853057960760647
0,95,13,0.18851550369198353
0,80,11,0.1878675581314779
0,82,7,0.1877928817064138
0,98,8,0.18763711729066795
0,99,8,0.18763711729066795
0,60,3,0.18759647683369046
0,61,9,0.18726365945552165
0,93,4,0.18720469084733501
0,86,12,0.1865579154284195
0,92,4,0.1863533242064687
0,87,8,0.18570682642223696
0,86,8,0.18570682642223696
0,64,9,0.1851765902116382
0,96,14,0.18508270353684403
0,31,5,0.18471279683858513
0,97,8,0.18424586482287753
0,80,7,0.1841487938319814
0,85,12,0.18377891621623454
0,94,14,0.18326321042239804
0,97,14,0.18279826039783598
0,43,7,0.18196604200414626
0,96,13,0.181413660197828
0,85,4,0.1812005095072337
0,84,12,0.18081830495339984
0,91,4,0.18026874804967316
0,59,5,0.17969924011604774
0,86,4,0.17958857065849027
0,83,12,0.17936361358855166
0,87,12,0.17918955348729093
0,83,4,0.17796820964985294
0,84,4,0.17796820964985294
0,93,14,0.17714194184832222
0,19,2,0.17697123119577388
0,58,9,0.1765812156225435
0,75,3,0.17600186617159386
0,78,11,0.17491208734352823
0,36,6,0.17482461329607785
0,59,3,0.1745137878981386
0,56,6,0.17433886971526208
0,37,4,0.17346374343272242
0,90,4,0.17297309562684615
0,77,11,0.17269390611511143
0,62,6,0.17245673205280124
0,82,4,0.17217647178301468
0,91,13,0.1718672161511059
0,60,9,0.17159030803943312
0,59,9,0.17144397411699644
0,43,4,0.17111976080832814
0,69,10,0.17109717898797613
0,28,3,0.17014394035410466
0,76,11,0.17013508137751926
0,42,7,0.1693923301259644
0,52,8,0.16896630458179385
0,99,15,0.16877006352063897
0,57,6,0.16808293673850075
0,74,3,0.16720641859789098
0,90,13,0.16717390028851092
0,82,12,0.16644483620014847
0,30,5,0.16642546471879457
0,36,4,0.16642252263863513
0,89,4,0.16615268049692974
0,68,10,0.16600126753450767
0,89,13,0.16566076529089732
0,41,7,0.1649344125382183
0,98,15,0.1648297485661231
0,81,12,0.16414072388335782
0,27,3,0.16383960823960791
0,8,1,0.16326549637012588
0,75,11,0.16307797182747363
0,58,5,0.16292621856745246
0,60,6,0.16245158150226222
0,67,10,0.1618769823395743
0,56,9,0.16170520279622785
0,57,9,0.160916072677242
0,48,3,0.16058317387276683
0,57,3,0.16033954700572323
0,42,4,0.16023923181866162
0,88,4,0.1594550226680937
0,61,6,0.15911681303287287
0,51,8,0.1590435833186523
0,97,15,0.15819544233842245
0,38,4,0.15749174135588306
0,72,11,0.15746719023433903
0,49,3,0.15706879215796796
0,80,12,0.1563283715287731
0,50,8,0.1560244020045394
0,39,4,0.15553741808075863
0,23,4,0.15490987239350754
0,40,4,0.15437774695235276
0,96,15,0.1533581670410734
0,66,10,0.15330648621278475
0,35,6,0.15321103600256838
0,56,3,0.15315556229289837
0,41,4,0.152532369112539
0,51,3,0.15222954565137753
0,55,3,0.15190500225352926
0,92,14,0.15177963504860645
0,26,3,0.15174159088721767
0,52,3,0.151017072407766
0,53,3,0.15046245500720185
0,55,9,0.1497537147489779
0,87,13,0.14765149441956674
0,91,14,0.14751390655183094
0,59,6,0.14737822141239776
0,88,13,0.1471389938058264
0,61,5,0.14713683804922675
0,29,5,0.14674588393243337
0,86,7,0.14557788975341174
0,87,7,0.14557788975341174
0,54,3,0.1451189966473852
0,90,14,0.144663821036303
0,85,7,0.14420145471637613
0,95,15,0.144049122097069
0,93,15,0.1438040158665598
0,50,3,0.1435255408925937
0,58,3,0.14342525733745792
0,84,7,0.14271443120038965
0,83,7,0.14271443120038965
0,7,1,0.14260035655399428
0,63,6,0.14191616165721962
0,65,10,0.14112034756892897
0,71,11,0.1408249573065742
0,18,2,0.1404440465301473
0,40,7,0.1403094762762259
0,54,9,0.13985756710663938
0,73,3,0.13965343645391812
0,89,14,0.1395872758960115
0,99,9,0.13879663519245083
0,58,6,0.13860182621781006
0,69,11,0.13821740869264215
0,25,3,0.13792908907193804
0,63,10,0.13783047816982882
0,62,5,0.13737133454858438
0,34,6,0.13688331884721128
0,72,3,0.13603099568024046
0,86,5,0.13584883060449773
0,49,8,0.13516960425990598
0,78,12,0.134768199532264
0,85,5,0.1342614062394068
0,79,12,0.13406751389460184
0,39,7,0.13402298706343538
0,70,11,0.13331368301535412
0,86,13,0.13297505301095228
0,62,10,0.13264369488345656
0,88,14,0.13254288103306797
0,65,6,0.1324062582953197
0,64,6,0.1317551438415156
